origin_nid,destin_nid,traveler_id,departure_time,enter_station,exit_station
37,38,0,26219,lucheng,qingnian_lu
29,37,1,31796,beiyunhexi,lucheng
33,34,2,21970,dongxiayuan,haojiafu
40,30,3,26030,tongzhou_beiguan,caofang
41,33,4,26186,wuzi_xueyuan_lu,dongxiayuan
28,32,5,28993,beiyunhedong,dalianpo
33,32,6,28576,dongxiayuan,dalianpo
38,30,7,31254,qingnian_lu,caofang
28,35,8,28769,beiyunhedong,huangqu
33,30,9,28935,dongxiayuan,caofang
38,29,10,30745,qingnian_lu,beiyunhexi
41,29,11,26197,wuzi_xueyuan_lu,beiyunhexi
40,35,12,22933,tongzhou_beiguan,huangqu
29,37,13,35864,beiyunhexi,lucheng
28,41,14,25602,beiyunhedong,wuzi_xueyuan_lu
39,33,15,35088,shilipu,dongxiayuan
32,40,16,26536,dalianpo,tongzhou_beiguan
32,40,17,29358,dalianpo,tongzhou_beiguan
39,33,18,29578,shilipu,dongxiayuan
40,35,19,35757,tongzhou_beiguan,huangqu
29,31,20,30575,beiyunhexi,changying
41,36,21,33012,wuzi_xueyuan_lu,jintai_lu
30,28,22,33993,caofang,beiyunhedong
29,39,23,35883,beiyunhexi,shilipu
37,34,24,34817,lucheng,haojiafu
35,36,25,30254,huangqu,jintai_lu
31,32,26,28865,changying,dalianpo
30,36,27,34542,caofang,jintai_lu
41,33,28,27391,wuzi_xueyuan_lu,dongxiayuan
29,39,29,31996,beiyunhexi,shilipu
40,41,30,23402,tongzhou_beiguan,wuzi_xueyuan_lu
36,29,31,23836,jintai_lu,beiyunhexi
28,38,32,27958,beiyunhedong,qingnian_lu
39,33,33,31918,shilipu,dongxiayuan
33,32,34,29024,dongxiayuan,dalianpo
28,40,35,28170,beiyunhedong,tongzhou_beiguan
29,41,36,30024,beiyunhexi,wuzi_xueyuan_lu
30,33,37,23981,caofang,dongxiayuan
39,28,38,33426,shilipu,beiyunhedong
31,38,39,30762,changying,qingnian_lu
31,30,40,33598,changying,caofang
